Script started on 2026-08-28 11:54:39+08:00 [COMMAND="rtk /home/gtc/Desktop/workspace/HC32_PROJ/HC32F460xE_MCUBoot_SLAM/evidence/hil/2026-08-28-469f9ca-phase5-boot-recovery/artifacts/hc32-updater install /home/gtc/Desktop/workspace/HC32_PROJ/HC32F460xE_MCUBoot_SLAM/evidence/hil/2026-08-28-469f9ca-phase5-boot-recovery/artifacts/updater_signed_attempt2.bin" <not executed on terminal>]
device application=0.0.0
transfer 508/38339
transfer 1016/38339
transfer 1524/38339
transfer 2032/38339
transfer 2540/38339
transfer 3048/38339
transfer 3556/38339
transfer 4064/38339
transfer 4572/38339
transfer 5080/38339
transfer 5588/38339
transfer 6096/38339
transfer 6604/38339
transfer 7112/38339
transfer 7620/38339
transfer 8128/38339
transfer 8636/38339
transfer 9144/38339
transfer 9652/38339
transfer 10160/38339
transfer 10668/38339
transfer 11176/38339
transfer 11684/38339
transfer 12192/38339
transfer 12700/38339
transfer 13208/38339
transfer 13716/38339
transfer 14224/38339
transfer 14732/38339
transfer 15240/38339
transfer 15748/38339
transfer 16256/38339
transfer 16764/38339
transfer 17272/38339
transfer 17780/38339
transfer 18288/38339
transfer 18796/38339
transfer 19304/38339
transfer 19812/38339
transfer 20320/38339
transfer 20828/38339
transfer 21336/38339
transfer 21844/38339
transfer 22352/38339
transfer 22860/38339
transfer 23368/38339
transfer 23876/38339
transfer 24384/38339
transfer 24892/38339
transfer 25400/38339
transfer 25908/38339
transfer 26416/38339
transfer 26924/38339
transfer 27432/38339
transfer 27940/38339
transfer 28448/38339
transfer 28956/38339
transfer 29464/38339
transfer 29972/38339
transfer 30480/38339
transfer 30988/38339
transfer 31496/38339
transfer 32004/38339
transfer 32512/38339
transfer 33020/38339
transfer 33528/38339
transfer 34036/38339
transfer 34544/38339
transfer 35052/38339
transfer 35560/38339
transfer 36068/38339
transfer 36576/38339
transfer 37084/38339
transfer 37592/38339
transfer 38100/38339
transfer 38339/38339
verify
commit
wait re-enumeration

Script done on 2026-08-28 11:54:40+08:00 [COMMAND_EXIT_CODE="0"]
