Script started on 2026-08-29 06:26:33+08:00 [COMMAND="evidence/hil/2026-08-28-phase5-flashdb-final/artifacts/hc32-updater install evidence/hil/2026-08-28-phase5-flashdb-final/artifacts/updater_signed.bin" <not executed on terminal>]
device application=0.0.0
transfer 508/55267
transfer 1016/55267
transfer 1524/55267
transfer 2032/55267
transfer 2540/55267
transfer 3048/55267
transfer 3556/55267
transfer 4064/55267
transfer 4572/55267
transfer 5080/55267
transfer 5588/55267
transfer 6096/55267
transfer 6604/55267
transfer 7112/55267
transfer 7620/55267
transfer 8128/55267
transfer 8636/55267
transfer 9144/55267
transfer 9652/55267
transfer 10160/55267
transfer 10668/55267
transfer 11176/55267
transfer 11684/55267
transfer 12192/55267
transfer 12700/55267
transfer 13208/55267
transfer 13716/55267
transfer 14224/55267
transfer 14732/55267
transfer 15240/55267
transfer 15748/55267
transfer 16256/55267
transfer 16764/55267
transfer 17272/55267
transfer 17780/55267
transfer 18288/55267
transfer 18796/55267
transfer 19304/55267
transfer 19812/55267
transfer 20320/55267
transfer 20828/55267
transfer 21336/55267
transfer 21844/55267
transfer 22352/55267
transfer 22860/55267
transfer 23368/55267
transfer 23876/55267
transfer 24384/55267
transfer 24892/55267
transfer 25400/55267
transfer 25908/55267
transfer 26416/55267
transfer 26924/55267
transfer 27432/55267
transfer 27940/55267
transfer 28448/55267
transfer 28956/55267
transfer 29464/55267
transfer 29972/55267
transfer 30480/55267
transfer 30988/55267
transfer 31496/55267
transfer 32004/55267
transfer 32512/55267
transfer 33020/55267
transfer 33528/55267
transfer 34036/55267
transfer 34544/55267
transfer 35052/55267
transfer 35560/55267
transfer 36068/55267
transfer 36576/55267
transfer 37084/55267
transfer 37592/55267
transfer 38100/55267
transfer 38608/55267
transfer 39116/55267
transfer 39624/55267
transfer 40132/55267
transfer 40640/55267
transfer 41148/55267
transfer 41656/55267
transfer 42164/55267
transfer 42672/55267
transfer 43180/55267
transfer 43688/55267
transfer 44196/55267
transfer 44704/55267
transfer 45212/55267
transfer 45720/55267
transfer 46228/55267
transfer 46736/55267
transfer 47244/55267
transfer 47752/55267
transfer 48260/55267
transfer 48768/55267
transfer 49276/55267
transfer 49784/55267
transfer 50292/55267
transfer 50800/55267
transfer 51308/55267
transfer 51816/55267
transfer 52324/55267
transfer 52832/55267
transfer 53340/55267
transfer 53848/55267
transfer 54356/55267
transfer 54864/55267
transfer 55267/55267
verify
commit
wait re-enumeration

Script done on 2026-08-29 06:26:35+08:00 [COMMAND_EXIT_CODE="0"]
